Transaction_ID,Date,Time,Day_of_Week,Product,Quantity,Unit_Price_AED,Total_Amount_AED,Payment_Method
1001,2025-01-01,11:36,Wednesday,Espresso,1,15,15,Card
1002,2025-01-01,09:51,Wednesday,Espresso,1,15,15,Card
1003,2025-01-01,09:47,Wednesday,Sandwich,1,35,35,Digital Wallet
1004,2025-01-02,10:18,Thursday,Pastry,1,25,25,Cash
1005,2025-01-02,10:23,Thursday,Espresso,1,15,15,Digital Wallet
1006,2025-01-02,19:39,Thursday,Latte,1,20,20,Cash
1007,2025-01-02,09:58,Thursday,Latte,1,20,20,Digital Wallet
1008,2025-01-02,10:35,Thursday,Latte,1,20,20,Card
1009,2025-01-03,17:10,Friday,Pastry,2,25,50,Cash
1010,2025-01-03,07:19,Friday,Pastry,1,25,25,Card
1011,2025-01-03,17:09,Friday,Latte,2,20,40,Digital Wallet
1012,2025-01-03,09:49,Friday,Cappuccino,1,20,20,Digital Wallet
1013,2025-01-03,09:22,Friday,Latte,1,20,20,Cash
1014,2025-01-04,09:33,Saturday,Espresso,1,15,15,Card
1015,2025-01-04,09:41,Saturday,Sandwich,1,35,35,Cash
1016,2025-01-04,16:20,Saturday,Latte,1,20,20,Card
1017,2025-01-04,10:20,Saturday,Espresso,1,15,15,Card
1018,2025-01-04,09:58,Saturday,Pastry,1,25,25,Cash
1019,2025-01-04,13:58,Saturday,Latte,1,20,20,Card
1020,2025-01-04,09:43,Saturday,Latte,1,20,20,Card
1021,2025-01-04,14:34,Saturday,Latte,1,20,20,Card
1022,2025-01-05,19:26,Sunday,Pastry,2,25,50,Card
1023,2025-01-05,08:22,Sunday,Espresso,1,15,15,Card
1024,2025-01-05,19:31,Sunday,Espresso,2,15,30,Card
1025,2025-01-05,18:21,Sunday,Cappuccino,2,20,40,Card
1026,2025-01-05,11:41,Sunday,Latte,1,20,20,
1027,2025-01-05,10:02,Sunday,Cappuccino,1,20,20,Card
1028,2025-01-06,07:07,Monday,Sandwich,1,35,35,Digital Wallet
1029,2025-01-06,16:56,Monday,Espresso,1,15,15,Card
1030,2025-01-06,19:06,Monday,Sandwich,1,35,35,Card
1031,2025-01-06,09:38,Monday,Latte,1,20,20,Digital Wallet
1032,2025-01-06,09:37,Monday,Espresso,1,15,15,Cash
1033,2025-01-06,19:56,Monday,Sandwich,2,35,70,Card
1034,2025-01-07,11:47,Tuesday,Cappuccino,1,20,20,Card
1035,2025-01-07,15:40,Tuesday,Espresso,1,15,15,Card
1036,2025-01-07,10:51,Tuesday,Cappuccino,1,20,20,Card
1037,2025-01-07,08:03,Tuesday,Latte,1,20,20,Card
1038,2025-01-07,09:47,Tuesday,Latte,1,20,20,Card
1039,2025-01-07,12:16,Tuesday,Latte,1,20,20,Card
1040,2025-01-08,12:28,Wednesday,Pastry,1,25,25,Cash
1041,2025-01-08,13:23,Wednesday,Pastry,1,25,25,Card
1042,2025-01-08,19:26,Wednesday,Cappuccino,1,20,20,Digital Wallet
1043,2025-01-08,17:01,Wednesday,Cappuccino,1,20,20,Cash
1044,2025-01-08,11:23,Wednesday,Latte,1,20,20,Cash
1045,2025-01-09,14:52,Thursday,Sandwich,1,35,35,Card
1046,2025-01-09,18:12,Thursday,Cappuccino,2,20,40,Digital Wallet
1047,2025-01-09,16:37,Thursday,Espresso,1,15,15,Digital Wallet
1048,2025-01-10,13:51,Friday,Cappuccino,1,20,20,Digital Wallet
1049,2025-01-10,17:42,Friday,Cappuccino,1,20,20,Card
1050,2025-01-10,17:25,Friday,Latte,1,20,20,Card
1051,2025-01-10,08:50,Friday,Pastry,2,25,50,Cash
1052,2025-01-11,08:28,Saturday,Cappuccino,1,20,20,Cash
1053,2025-01-11,17:45,Saturday,Latte,1,20,20,Card
1054,2025-01-11,14:22,Saturday,Pastry,1,25,25,Card
1055,2025-01-11,14:29,Saturday,Latte,1,20,20,Card
1056,2025-01-11,08:55,Saturday,Espresso,1,15,15,Card
1057,2025-01-11,19:50,Saturday,Sandwich,1,35,35,Digital Wallet
1058,2025-01-11,14:10,Saturday,Latte,2,20,40,Cash
1059,2025-01-11,09:40,Saturday,Cappuccino,1,20,20,Card
1060,2025-01-12,11:48,Sunday,Latte,1,20,20,Cash
1061,2025-01-12,09:25,Sunday,Pastry,2,25,50,Digital Wallet
1062,2025-01-12,10:02,Sunday,Espresso,2,15,30,Card
1063,2025-01-12,11:32,Sunday,Cappuccino,1,20,20,Digital Wallet
1064,2025-01-12,11:52,Sunday,Espresso,1,15,15,Card
1065,2025-01-12,10:18,Sunday,Latte,1,20,20,Cash
1066,2025-01-13,14:34,Monday,Latte,1,20,20,Digital Wallet
1067,2025-01-13,10:14,Monday,Espresso,1,15,15,Card
1068,2025-01-13,14:25,Monday,Cappuccino,1,20,20,Cash
1069,2025-01-13,17:39,Monday,Pastry,1,25,25,Cash
1070,2025-01-13,16:01,Monday,Cappuccino,1,20,20,Digital Wallet
1071,2025-01-13,09:03,Monday,Latte,1,20,20,Digital Wallet
1072,2025-01-14,07:08,Tuesday,Latte,1,20,20,Cash
1073,2025-01-14,09:39,Tuesday,Latte,1,20,20,Digital Wallet
1074,2025-01-14,16:08,Tuesday,Espresso,1,15,15,Cash
1075,2025-01-14,16:11,Tuesday,Espresso,1,15,15,Cash
1076,2025-01-15,16:11,Wednesday,Cappuccino,2,20,40,Card
1077,2025-01-15,08:24,Wednesday,Cappuccino,1,20,20,Cash
1078,2025-01-15,11:29,Wednesday,Latte,1,20,20,Card
1079,2025-01-15,08:16,Wednesday,Latte,1,20,20,Cash
1080,2025-01-15,10:58,Wednesday,Latte,1,20,20,Cash
1081,2025-01-15,08:45,Wednesday,Cappuccino,1,20,20,Cash
1082,2025-01-16,15:48,Thursday,Latte,2,20,40,Cash
1083,2025-01-16,08:03,Thursday,Cappuccino,1,20,20,Card
1084,2025-01-16,09:19,Thursday,Pastry,1,25,25,Cash
1085,2025-01-16,07:33,Thursday,Cappuccino,1,20,20,Cash
1086,2025-01-16,17:11,Thursday,Sandwich,1,35,35,Card
1087,2025-01-17,11:57,Friday,Cappuccino,1,20,20,Cash
1088,2025-01-17,12:30,Friday,Espresso,1,15,15,Card
1089,2025-01-17,12:17,Friday,Sandwich,1,35,35,Card
1090,2025-01-17,18:49,Friday,Sandwich,1,35,35,Cash
1091,2025-01-18,16:20,Saturday,Espresso,1,15,15,Card
1092,2025-01-18,19:33,Saturday,Espresso,1,15,15,Digital Wallet
1093,2025-01-18,08:44,Saturday,Cappuccino,1,20,20,Digital Wallet
1094,2025-01-18,18:27,Saturday,Espresso,1,15,15,Card
1095,2025-01-18,15:59,Saturday,Espresso,1,15,15,Card
1096,2025-01-18,11:19,Saturday,Espresso,1,15,15,Card
1097,2025-01-18,13:34,Saturday,Espresso,2,15,30,Cash
1098,2025-01-18,09:24,Saturday,Espresso,1,15,15,Card
1099,2025-01-19,16:12,Sunday,Sandwich,1,35,35,Card
1100,2025-01-19,17:37,Sunday,Latte,1,20,20,Card
1101,2025-01-19,08:13,Sunday,Sandwich,1,35,35,Card
1102,2025-01-19,10:40,Sunday,Espresso,1,15,15,Card
1103,2025-01-19,09:31,Sunday,Latte,1,20,20,Card
1104,2025-01-19,10:57,Sunday,Cappuccino,2,20,40,Cash
1105,2025-01-19,16:29,Sunday,Espresso,1,15,15,Digital Wallet
1106,2025-01-19,11:05,Sunday,Espresso,1,15,15,Card
1107,2025-01-19,16:34,Sunday,Espresso,1,15,15,Digital Wallet
1108,2025-01-20,14:57,Monday,Pastry,1,25,25,Cash
1109,2025-01-20,11:30,Monday,Pastry,1,25,25,Cash
1110,2025-01-20,19:40,Monday,Cappuccino,1,20,20,Card
1111,2025-01-20,14:09,Monday,Latte,1,20,20,Card
1112,2025-01-20,12:19,Monday,Sandwich,1,35,35,Card
1113,2025-01-21,12:23,Tuesday,Cappuccino,1,20,20,Card
1114,2025-01-21,09:23,Tuesday,Cappuccino,1,20,20,Digital Wallet
1115,2025-01-21,13:51,Tuesday,Pastry,1,25,25,Cash
1116,2025-01-22,09:12,Wednesday,Espresso,1,15,15,Cash
1117,2025-01-22,09:01,Wednesday,Espresso,1,15,15,Card
1118,2025-01-22,07:40,Wednesday,Cappuccino,1,20,20,Cash
1119,2025-01-22,08:41,Wednesday,Cappuccino,2,20,40,Cash
